2024-04-25 15:56:37,765 - Episode: 117/1000, Total Reward: 2.5999999999999934, Accuracy: 0.00
2024-04-25 15:56:42,497 - Episode: 118/1000, Total Reward: -1.4999999999999991, Accuracy: 0.00
2024-04-25 15:56:47,584 - Episode: 119/1000, Total Reward: -1.8999999999999995, Accuracy: 0.00
2024-04-25 15:56:52,293 - Episode: 120/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-25 15:56:57,208 - Episode: 121/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 15:57:02,096 - Episode: 122/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-25 15:57:07,230 - Episode: 123/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-25 15:57:12,029 - Episode: 124/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-25 15:57:16,741 - Episode: 125/1000, Total Reward: -3.8000000000000007, Accuracy: 0.00
2024-04-25 15:57:21,535 - Episode: 126/1000, Total Reward: -1.4999999999999991, Accuracy: 0.00
2024-04-25 15:57:26,725 - Episode: 127/1000, Total Reward: -0.5999999999999988, Accuracy: 0.00
2024-04-25 15:57:31,589 - Episode: 128/1000, Total Reward: 2.7999999999999927, Accuracy: 0.00
2024-04-25 15:57:36,528 - Episode: 129/1000, Total Reward: 2.5999999999999934, Accuracy: 0.00
2024-04-25 15:57:41,437 - Episode: 130/1000, Total Reward: 2.999999999999992, Accuracy: 0.00
2024-04-25 15:57:46,536 - Episode: 131/1000, Total Reward: 4.29999999999999, Accuracy: 0.00
2024-04-25 15:57:51,581 - Episode: 132/1000, Total Reward: 4.499999999999989, Accuracy: 0.00
2024-04-25 15:57:56,386 - Episode: 133/1000, Total Reward: 3.199999999999992, Accuracy: 0.00
2024-04-25 15:58:01,418 - Episode: 134/1000, Total Reward: 4.29999999999999, Accuracy: 0.00
2024-04-25 15:58:06,328 - Episode: 135/1000, Total Reward: 3.3999999999999915, Accuracy: 0.00
2024-04-25 15:58:11,463 - Episode: 136/1000, Total Reward: -1.0999999999999992, Accuracy: 0.00
2024-04-25 15:58:16,286 - Episode: 137/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-25 15:58:21,214 - Episode: 138/1000, Total Reward: -2.0999999999999996, Accuracy: 0.00
2024-04-25 15:58:26,432 - Episode: 139/1000, Total Reward: -2.9000000000000004, Accuracy: 0.00
2024-04-25 15:58:31,596 - Episode: 140/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-25 15:58:36,804 - Episode: 141/1000, Total Reward: -2.7, Accuracy: 0.00
2024-04-25 15:58:41,811 - Episode: 142/1000, Total Reward: -2.8, Accuracy: 0.00
2024-04-25 15:58:46,715 - Episode: 143/1000, Total Reward: -0.5999999999999988, Accuracy: 0.00
2024-04-25 15:58:51,752 - Episode: 144/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-25 15:58:56,959 - Episode: 145/1000, Total Reward: 2.5999999999999934, Accuracy: 0.00
2024-04-25 15:59:01,879 - Episode: 146/1000, Total Reward: 2.5999999999999934, Accuracy: 0.00
2024-04-25 15:59:06,820 - Episode: 147/1000, Total Reward: 3.199999999999992, Accuracy: 0.00
2024-04-25 15:59:11,751 - Episode: 148/1000, Total Reward: 2.999999999999992, Accuracy: 0.00
2024-04-25 15:59:16,954 - Episode: 149/1000, Total Reward: 4.699999999999989, Accuracy: 0.00
2024-04-25 15:59:22,354 - Episode: 150/1000, Total Reward: 3.3999999999999915, Accuracy: 0.00
2024-04-25 15:59:27,468 - Episode: 151/1000, Total Reward: 2.7999999999999927, Accuracy: 0.00
2024-04-25 15:59:32,998 - Episode: 152/1000, Total Reward: 4.699999999999989, Accuracy: 0.00
2024-04-25 15:59:38,606 - Episode: 153/1000, Total Reward: 5.999999999999986, Accuracy: 0.00
2024-04-25 15:59:43,684 - Episode: 154/1000, Total Reward: 4.29999999999999, Accuracy: 0.00
2024-04-25 15:59:49,017 - Episode: 155/1000, Total Reward: 3.199999999999992, Accuracy: 0.00
2024-04-25 15:59:54,293 - Episode: 156/1000, Total Reward: 1.8999999999999941, Accuracy: 0.00
2024-04-25 15:59:59,505 - Episode: 157/1000, Total Reward: 1.8999999999999941, Accuracy: 0.00
2024-04-25 16:00:04,687 - Episode: 158/1000, Total Reward: 0.8999999999999977, Accuracy: 0.00
2024-04-25 16:00:09,910 - Episode: 159/1000, Total Reward: -1.299999999999999, Accuracy: 0.00
2024-04-25 16:00:15,037 - Episode: 160/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-25 16:00:20,215 - Episode: 161/1000, Total Reward: -4.4, Accuracy: 0.00
2024-04-25 16:00:25,340 - Episode: 162/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-25 16:00:30,588 - Episode: 163/1000, Total Reward: -1.8999999999999995, Accuracy: 0.00
2024-04-25 16:00:36,045 - Episode: 164/1000, Total Reward: -0.5999999999999988, Accuracy: 0.00
2024-04-25 16:00:41,127 - Episode: 165/1000, Total Reward: 2.7999999999999936, Accuracy: 0.00
2024-04-25 16:00:46,525 - Episode: 166/1000, Total Reward: 2.999999999999993, Accuracy: 0.00
2024-04-25 16:00:51,740 - Episode: 167/1000, Total Reward: 4.099999999999991, Accuracy: 0.00
2024-04-25 16:00:57,103 - Episode: 168/1000, Total Reward: 3.3999999999999915, Accuracy: 0.00
2024-04-25 16:01:02,492 - Episode: 169/1000, Total Reward: 4.699999999999989, Accuracy: 0.00
2024-04-25 16:01:07,605 - Episode: 170/1000, Total Reward: 4.29999999999999, Accuracy: 0.00
